lens_redshift,sigma_crit_tomo1_msun_mpc2,sigma_crit_tomo2_msun_mpc2,sigma_crit_tomo3_msun_mpc2,sigma_crit_tomo4_msun_mpc2,sigma_crit_tomo5_msun_mpc2,inverse_sigma_crit_tomo1_mpc2_msun,inverse_sigma_crit_tomo2_mpc2_msun,inverse_sigma_crit_tomo3_mpc2_msun,inverse_sigma_crit_tomo4_mpc2_msun,inverse_sigma_crit_tomo5_mpc2_msun
0.35500000,6.360701821499e+15,8.040533387443e+15,5.026388616687e+15,3.545943290461e+15,3.054038795188e+15,1.572153557993e-16,1.243698585422e-16,1.989499969581e-16,2.820124063151e-16,3.274352642722e-16
0.36000000,6.328472562263e+15,8.098497644673e+15,5.084638469616e+15,3.563641256710e+15,3.057795180634e+15,1.580160125783e-16,1.234796926388e-16,1.966708166127e-16,2.806118596021e-16,3.270330224644e-16
0.36500000,6.299559200060e+15,8.157639979297e+15,5.146070788060e+15,3.582642145355e+15,3.062358823815e+15,1.587412655778e-16,1.225844732714e-16,1.943230167607e-16,2.791236075020e-16,3.265456654600e-16
0.37000000,6.273554731865e+15,8.217824102545e+15,5.210687415190e+15,3.602955243810e+15,3.067721363481e+15,1.593992628965e-16,1.216867126287e-16,1.919132583323e-16,2.775499367410e-16,3.259748463157e-16
0.37500000,6.249899119513e+15,8.278572812766e+15,5.278462179661e+15,3.624591982149e+15,3.073874896067e+15,1.600025825822e-16,1.207937675511e-16,1.894491171791e-16,2.758931225707e-16,3.253222833758e-16
0.38000000,6.227995311849e+15,8.339246524122e+15,5.349351965945e+15,3.647566275460e+15,3.080812137481e+15,1.605653103331e-16,1.199149104307e-16,1.869385313149e-16,2.741554023920e-16,3.245897365289e-16
0.38500000,6.207339604043e+15,8.399256646665e+15,5.423308913374e+15,3.671894780330e+15,3.088526657014e+15,1.610996117159e-16,1.190581550329e-16,1.843892752511e-16,2.723389584464e-16,3.237789765321e-16
0.39000000,6.187617037676e+15,8.458232821369e+15,5.500287193326e+15,3.697596926751e+15,3.097013065665e+15,1.616131046752e-16,1.182280059108e-16,1.818086883196e-16,2.704459192848e-16,3.228917601565e-16
0.39500000,6.168728687948e+15,8.516082867972e+15,5.580240019758e+15,3.724694678860e+15,3.106267078516e+15,1.621079562072e-16,1.174248789618e-16,1.792037612109e-16,2.684783817787e-16,3.219298195304e-16
0.40000000,6.150745050802e+15,8.572926850310e+15,5.663106860516e+15,3.753212103623e+15,3.116285435798e+15,1.625819297891e-16,1.166462769904e-16,1.765815169359e-16,2.664384458940e-16,3.208948668542e-16
0.40500000,6.133806973250e+15,8.628934565216e+15,5.748795526961e+15,3.783174933197e+15,3.127065731726e+15,1.630308883799e-16,1.158891624965e-16,1.739494812975e-16,2.643282474794e-16,3.197886088080e-16
0.41000000,6.118012172053e+15,8.684129686897e+15,5.837166949640e+15,3.814610345812e+15,3.138606238119e+15,1.634517833371e-16,1.151525870818e-16,1.713159840429e-16,2.621499732201e-16,3.186127612489e-16
0.41500000,6.103326192238e+15,8.738231323981e+15,5.928030536280e+15,3.847547137459e+15,3.150905807112e+15,1.638450852048e-16,1.144396346267e-16,1.686900892092e-16,2.599058476150e-16,3.173690555087e-16
0.42000000,6.089543350863e+15,8.790584169908e+15,6.021154724282e+15,3.882016324088e+15,3.163963897011e+15,1.642159259542e-16,1.137580825883e-16,1.660811000201e-16,2.575980924642e-16,3.160592322007e-16
0.42500000,6.076302542620e+15,8.840191532734e+15,6.116291693999e+15,3.918052047200e+15,3.177780705725e+15,1.645737671858e-16,1.131197210261e-16,1.634977613937e-16,2.552288708658e-16,3.146850247402e-16
0.43000000,6.063143163930e+15,8.885826548120e+15,6.213209273853e+15,3.955692518259e+15,3.192357343158e+15,1.649309562652e-16,1.125387711075e-16,1.609474195901e-16,2.528002354541e-16,3.132481400126e-16
0.43500000,6.049574772630e+15,8.926170795929e+15,6.311719263170e+15,3.994980687057e+15,3.207695950148e+15,1.653008744556e-16,1.120301216347e-16,1.584354370504e-16,2.503141012020e-16,3.117502455162e-16
0.44000000,6.035133854695e+15,8.959926191862e+15,6.411691542550e+15,4.035964383588e+15,3.223799687704e+15,1.656964077478e-16,1.116080622303e-16,1.559650824379e-16,2.477722558867e-16,3.101929700577e-16
0.44500000,6.019411278813e+15,8.985866444247e+15,6.513047817290e+15,4.078695846601e+15,3.240672570240e+15,1.661292032860e-16,1.112858739004e-16,1.535379484464e-16,2.451764087369e-16,3.085779196526e-16
0.45000000,6.002049868929e+15,9.002829663452e+15,6.615736267925e+15,4.123230758318e+15,3.258319179962e+15,1.666097453100e-16,1.110761879745e-16,1.511547557977e-16,2.425282645126e-16,3.069067039686e-16
0.45500000,5.982726193014e+15,9.009688044529e+15,6.719696041785e+15,4.169627076421e+15,3.276744349834e+15,1.671478800363e-16,1.109916342339e-16,1.488162550481e-16,2.398296014660e-16,3.051809641637e-16
0.46000000,5.961138078690e+15,9.005347786761e+15,6.824825388447e+15,4.217944021801e+15,3.295952917768e+15,1.677532019557e-16,1.110451282592e-16,1.465238952037e-16,2.370823308302e-16,3.034023922517e-16
0.46500000,5.937016649186e+15,8.988823481269e+15,6.930967206533e+15,4.268241511030e+15,3.315949626775e+15,1.684347643083e-16,1.112492643875e-16,1.442800074220e-16,2.342885231344e-16,3.015727355824e-16
0.47000000,5.910170188683e+15,8.959398387194e+15,7.037920482163e+15,4.320580135609e+15,3.336739184542e+15,1.691998653296e-16,1.116146371423e-16,1.420874251897e-16,2.314503998568e-16,2.996937862667e-16
0.47500000,5.880551771396e+15,8.916838541627e+15,7.145477173342e+15,4.375021553675e+15,3.358326425905e+15,1.700520697503e-16,1.121473709916e-16,1.399486662319e-16,2.285703025074e-16,2.977673618283e-16
0.48000000,5.848329695363e+15,8.861593610060e+15,7.253474599835e+15,4.431628966426e+15,3.380716472424e+15,1.709889920866e-16,1.128465199380e-16,1.378649619898e-16,2.256506597407e-16,2.957952872289e-16
0.48500000,5.813934691136e+15,8.794907667055e+15,7.361846818768e+15,4.490467282257e+15,3.403914777697e+15,1.720005560992e-16,1.137021601427e-16,1.358354805007e-16,2.226939730641e-16,2.937793879425e-16
0.49000000,5.778062771434e+15,8.718785020338e+15,7.470657407807e+15,4.551602661941e+15,3.427926990929e+15,1.730683863360e-16,1.146948798104e-16,1.338570282924e-16,2.197028331057e-16,2.917214989252e-16
0.49500000,5.741625462824e+15,8.635801334282e+15,7.580101164167e+15,4.615101359154e+15,3.452758649703e+15,1.741667070544e-16,1.157970130728e-16,1.319243606836e-16,2.166799647892e-16,2.896234870300e-16
