partition,gbar_m_s2,raw_sis_gobs_m_s2,mistele2024_gobs_m_s2
kids-pairs-v017-03,2.238721138568338e-12,-1.495790839599388e-12,1.659586907437563e-11
kids-pairs-v017-03,3.8904514499428045e-12,1.0749533266690198e-11,2.2387211385683377e-11
kids-pairs-v017-04,1.3803842646028866e-15,1.1370855116625156e-13,1.4125375446227554e-13
kids-pairs-v017-04,2.4547089156850336e-15,3.5490101647236623e-13,3.630780547701018e-13
kids-pairs-v017-04,4.2657951880159345e-15,5.89245150017517e-13,5.370317963702532e-13
kids-pairs-v017-04,7.585775750291851e-15,7.213310499037378e-13,8.317637711026708e-13
kids-pairs-v017-04,1.3489628825916561e-14,2.7788275806793493e-13,1.1748975549395304e-12
kids-pairs-v017-04,2.344228815319918e-14,1.6595771250352738e-13,1.7378008287493763e-12
kids-pairs-v017-04,4.168693834703347e-14,8.46564328442204e-13,2.5703957827688646e-12
kids-pairs-v017-04,7.413102413009162e-14,1.7865123486400868e-12,3.3884415613920204e-12
kids-pairs-v017-04,1.2882495516931323e-13,2.308208941014645e-12,5.128613839913659e-12
kids-pairs-v017-04,2.29086765276777e-13,3.115992332483119e-13,6.16595001861481e-12
kids-pairs-v017-04,4.073802778041122e-13,6.228180623430826e-13,7.762471166286927e-12
kids-pairs-v017-04,7.079457843841374e-13,1.0949910385943854e-12,1e-11
kids-pairs-v017-04,1.258925411794166e-12,-5.707701628054617e-12,1.3182567385564048e-11
kids-pairs-v017-04,2.238721138568338e-12,-6.834323255198134e-12,1.659586907437563e-11
kids-pairs-v017-04,3.8904514499428045e-12,-1.0864155363393208e-12,2.2387211385683377e-11
kids-pairs-v017-05,1.3803842646028866e-15,-3.114858458849039e-14,1.4125375446227554e-13
kids-pairs-v017-05,2.4547089156850336e-15,1.2945210571290414e-13,3.630780547701018e-13
kids-pairs-v017-05,4.2657951880159345e-15,1.5812752766615345e-13,5.370317963702532e-13
kids-pairs-v017-05,7.585775750291851e-15,6.305627380702638e-13,8.317637711026708e-13
kids-pairs-v017-05,1.3489628825916561e-14,-1.1635848161522162e-13,1.1748975549395304e-12
kids-pairs-v017-05,2.344228815319918e-14,2.9329166500237504e-13,1.7378008287493763e-12
kids-pairs-v017-05,4.168693834703347e-14,-6.873537069062346e-13,2.5703957827688646e-12
kids-pairs-v017-05,7.413102413009162e-14,-2.2523151747094404e-13,3.3884415613920204e-12
kids-pairs-v017-05,1.2882495516931323e-13,-1.1811552721906607e-12,5.128613839913659e-12
kids-pairs-v017-05,2.29086765276777e-13,-4.144079233089027e-12,6.16595001861481e-12
kids-pairs-v017-05,4.073802778041122e-13,-1.9164928493280968e-12,7.762471166286927e-12
kids-pairs-v017-05,7.079457843841374e-13,4.3516426418544865e-12,1e-11
kids-pairs-v017-05,1.258925411794166e-12,5.891448515560786e-12,1.3182567385564048e-11
kids-pairs-v017-05,2.238721138568338e-12,7.141546385399528e-12,1.659586907437563e-11
kids-pairs-v017-05,3.8904514499428045e-12,7.278842228822952e-12,2.2387211385683377e-11
kids-pairs-v017-06,1.3803842646028866e-15,6.116618390673431e-14,1.4125375446227554e-13
kids-pairs-v017-06,2.4547089156850336e-15,-1.757053439470179e-13,3.630780547701018e-13
kids-pairs-v017-06,4.2657951880159345e-15,8.843322407846945e-14,5.370317963702532e-13
kids-pairs-v017-06,7.585775750291851e-15,9.911957623194998e-14,8.317637711026708e-13
kids-pairs-v017-06,1.3489628825916561e-14,3.95658615306753e-13,1.1748975549395304e-12
kids-pairs-v017-06,2.344228815319918e-14,7.777285511468892e-14,1.7378008287493763e-12
kids-pairs-v017-06,4.168693834703347e-14,1.3464763087312537e-12,2.5703957827688646e-12
kids-pairs-v017-06,7.413102413009162e-14,-6.327785122157206e-14,3.3884415613920204e-12
kids-pairs-v017-06,1.2882495516931323e-13,7.539124276591101e-13,5.128613839913659e-12
kids-pairs-v017-06,2.29086765276777e-13,1.0922380141536422e-12,6.16595001861481e-12
kids-pairs-v017-06,4.073802778041122e-13,3.1993954803334656e-12,7.762471166286927e-12
kids-pairs-v017-06,7.079457843841374e-13,4.939044272584641e-14,1e-11
kids-pairs-v017-06,1.258925411794166e-12,7.240791041476721e-13,1.3182567385564048e-11
