radius_mpc_h70,signal_esd,signal_esd_std,pilot_random_esd,pilot_random_esd_std,pilot_corrected_esd,pilot_corrected_esd_std_independent_diagonal,signal_cross_esd,signal_cross_esd_std,pilot_random_cross_esd,pilot_random_cross_esd_std,pilot_corrected_cross_esd,pilot_corrected_cross_esd_std_independent_diagonal,signal_gobs,signal_gobs_std,pilot_random_gobs,pilot_random_gobs_std,pilot_corrected_gobs,pilot_corrected_gobs_std_independent_diagonal,signal_cross_gobs,signal_cross_gobs_std,pilot_random_cross_gobs,pilot_random_cross_gobs_std,pilot_corrected_cross_gobs,pilot_corrected_cross_gobs_std_independent_diagonal
0.1024247200066695,577092258545.9083,2772904136998.3877,-8841485917982.443,8653380250225.167,9418578176528.352,9086802909052.764,2296736051424.804,2772904136998.3877,6260970889145.911,8653380250225.167,-3964234837721.107,9086802909052.764,2.1346885839301616e-12,1.390981615667136e-12,-2.498969732615299e-13,4.397929910794031e-12,2.3845855571916915e-12,4.612658382687878e-12,1.0080109485201939e-12,1.390981615667136e-12,3.666977785560921e-12,4.397929910794031e-12,-2.658966837040727e-12,4.612658382687878e-12
0.13923030935211736,4088942631703.128,2057711276618.6057,4626058795315.41,6336828026959.158,-537116163612.2822,6662549447559.73,1265391918782.9722,2057711276618.6057,11643263810745.72,6336828026959.158,-10377871891962.748,6662549447559.73,1.5478714273896525e-12,1.0598836966738486e-12,9.645107253264382e-13,3.2705683100776728e-12,5.833607020632143e-13,3.438018400381148e-12,5.894938333606651e-13,1.0598836966738486e-12,3.794910450908226e-12,3.2705683100776728e-12,-3.2054166175475607e-12,3.438018400381148e-12
0.18926172354705012,818294034165.3214,1523918226618.9612,2952422329923.924,4675951999125.782,-2134128295758.6025,4918013202457.867,2367451093391.7695,1523918226618.9612,4068691521276.6123,4675951999125.782,-1701240427884.8428,4918013202457.867,5.48990033933496e-13,7.906308269332829e-13,2.865833614742902e-13,2.408004291285931e-12,2.624066724592058e-13,2.5344785995049683e-12,7.323601420706337e-13,7.906308269332829e-13,9.074156878137231e-13,2.408004291285931e-12,-1.7505554574308938e-13,2.5344785995049683e-12
0.25727156799896383,1179801398906.4436,1130596694544.7683,-1575671561459.858,3439922889851.9043,2755472960366.302,3620955450408.4463,502344768581.6867,1130596694544.7683,-2202212700724.279,3439922889851.9043,2704557469305.9653,3620955450408.4463,4.977477654250524e-13,5.837051484672967e-13,-1.0780589259804852e-12,1.7592548731406607e-12,1.5758066914055377e-12,1.8535612773837265e-12,2.639174622701667e-13,5.837051484672967e-13,-7.07121644953986e-13,1.7592548731406607e-12,9.710391072241526e-13,1.8535612773837265e-12
0.34972026282002594,415853070848.00037,839127587219.9866,-2435048960083.734,2523101890708.7227,2850902030931.7344,2658980680360.7217,988061549735.2867,839127587219.9866,-990328585363.519,2523101890708.7227,1978390135098.8057,2658980680360.7217,2.2045879294721427e-14,4.3052717600250824e-13,-1.3262855395755699e-12,1.286582506600506e-12,1.3483314188702913e-12,1.356704903642327e-12,3.336265006031238e-13,4.3052717600250824e-13,1.6834543361238297e-13,1.286582506600506e-12,1.652810669907408e-13,1.356704903642327e-12
0.4753897338061105,-310413355067.2788,623708203409.0623,-1848731899487.2424,1860856265579.5593,1538318544419.9636,1962599797245.0889,296768008416.8659,623708203409.0623,3462581026390.1074,1860856265579.5593,-3165813017973.2417,1962599797245.0889,-5.1292112466386804e-14,3.1856418884191773e-13,-6.992820812730355e-13,9.449836940145104e-13,6.479899688066487e-13,9.972348391255787e-13,2.2797314323895973e-13,3.1856418884191773e-13,8.385019499919802e-13,9.449836940145104e-13,-6.105288067530205e-13,9.972348391255787e-13
0.6462176288725567,-55272878209.87075,463662707745.62823,-685105468146.3899,1371191735275.251,629832589936.5192,1447463257371.724,456633001056.0982,463662707745.62823,-910937078883.8202,1371191735275.251,1367570079939.9185,1447463257371.724,-5.62129208633151e-15,2.362979227103218e-13,-2.4318433570386793e-13,6.944861531117195e-13,2.3756304361753644e-13,7.33585526807289e-13,2.2179314919308795e-13,2.362979227103218e-13,-2.541980472461423e-13,6.944861531117195e-13,4.759911964392303e-13,7.33585526807289e-13
0.8784313041896438,-227219654673.9937,345177343072.4069,239414008474.24265,1007940236426.116,-466633663148.2363,1065406456887.3518,417711395679.13824,345177343072.4069,194499701596.60638,1007940236426.116,223211694082.53186,1065406456887.3518,-3.925058218752154e-15,1.756741448471797e-13,2.6992102072151387e-14,5.102079354514541e-13,-3.091716029090354e-14,5.396049875283058e-13,1.8968702507160267e-13,1.756741448471797e-13,-9.44959068017688e-14,5.102079354514541e-13,2.8418293187337145e-13,5.396049875283058e-13
1.1940893001117703,297191519983.4306,257193389947.0094,-144626492513.6231,742657475977.748,441818012497.0537,785931655080.818,291425815985.72656,257193389947.0094,-927210100703.8998,742657475977.748,1218635916689.6265,785931655080.818,1.1552494758599051e-13,1.307333149877723e-13,-1.0663143569073699e-13,3.7578329319712945e-13,2.2215638327672752e-13,3.978747077834577e-13,1.0623541722052172e-13,1.307333149877723e-13,-2.25636462596519e-13,3.7578329319712945e-13,3.318718798170407e-13,3.978747077834577e-13
1.6231767354383722,214022966580.7045,191635564669.58954,-319972981044.6926,548038576814.25525,533995947625.3971,580577704810.3267,232109897412.55154,191635564669.58954,783009766074.5964,548038576814.25525,-550899868662.0449,580577704810.3267,4.886987788707849e-14,9.722642140283979e-14,-1.1797947633302306e-13,2.771557803513092e-13,1.6684935422010155e-13,2.937146635783541e-13,3.420798162169151e-14,9.722642140283979e-14,-6.341779294294504e-15,2.771557803513092e-13,4.054976091598601e-14,2.937146635783541e-13
2.206453666590727,5002437932.088838,142491666529.03705,-263166170520.2195,404459727785.04193,268168608452.30835,428825776312.6799,-22301518324.540524,142491666529.03705,-713271398205.3258,404459727785.04193,690969879880.7853,428825776312.6799,-8.85052782016465e-15,7.213492081534357e-14,-2.5115542880259137e-14,2.0450379581123635e-13,1.6265015060094488e-14,2.1685305924113622e-13,-4.791732971823098e-14,7.213492081534357e-14,-3.2648164380722155e-13,2.0450379581123635e-13,2.7856431408899057e-13,2.1685305924113622e-13
2.9993269842527894,30819774847.64492,105753617048.32329,358358911784.7353,299094378995.74677,-327539136937.0904,317240090571.2499,-31155747437.279034,105753617048.32329,-312789101846.8192,299094378995.74677,281633354409.54016,317240090571.2499,-2.067062527582505e-14,5.337063296870488e-14,8.766290884435816e-14,1.50965550711095e-13,-1.0833353412018321e-13,1.6012189720642335e-13,-6.403335436767742e-14,5.337063296870488e-14,-1.7619974498834756e-13,1.50965550711095e-13,1.1216639062067014e-13,1.6012189720642335e-13
